dish_id,method,gt_mass_g,gt_calories,gt_fat_g,gt_carb_g,gt_protein_g,pred_mass_g,pred_calories,pred_fat_g,pred_carb_g,pred_protein_g,ae_mass_g,ae_calories,ae_fat_g,ae_carb_g,ae_protein_g,num_food_codes,food_codes,description,error
dish_1557862696,MIA24,77.00,19.25,0.23,3.85,1.39,60.00,15.60,0.17,3.10,1.19,17.00,3.65,0.06,0.75,0.19,1,75214011,"The image shows the food category of a vegetable dish. The visible ingredients include white cauliflower florets. The cooking method appears to be steamed or boiled, as the cauliflower looks soft and ",
dish_1558031351,MIA24,41.00,12.30,0.04,3.12,0.25,90.00,27.00,0.14,6.79,0.55,49.00,14.70,0.09,3.68,0.30,1,63149010,"The image shows the food category of a fruit dish. The visible ingredients include small chunks of watermelon. The cooking method appears to be raw, as the watermelon is fresh and uncooked. Additional",
dish_1558110436,MIA24,69.00,85.63,0.14,20.29,1.10,90.00,110.70,3.87,17.69,1.73,21.00,25.07,3.73,2.59,0.62,1,73403000,The image shows the food category of a vegetable dish. The visible ingredients include pieces of sweet potato with skin. The cooking method appears to be roasted or baked based on the slightly darkene,
dish_1558113477,MIA24,50.00,289.05,24.75,11.35,11.20,30.00,173.70,14.98,6.46,6.34,20.00,115.35,9.77,4.88,4.86,1,42101000,"The image shows the food category of a snack or nut dish. The visible ingredients include whole almonds. The cooking method appears to be raw or natural, as the almonds do not appear roasted or cooked",
dish_1558114086,MIA24,143.00,74.36,0.29,0.43,20.02,200.00,122.00,0.30,29.60,0.34,57.00,47.64,0.01,29.17,19.68,1,63101000,The image shows the food category of fruit. The visible ingredient is a single whole apple. There is no apparent cooking method as the apple is raw. Additional details include the apple being placed o,
dish_1558373008,MIA24,73.00,251.56,19.93,3.07,14.09,56.00,157.92,0.22,42.02,1.37,17.00,93.64,19.71,38.95,12.72,1,62110100,The image shows the food category of a snack or dried fruit. The visible ingredients include several whole and halved dried dates or similar dried fruit placed on a white disposable plate. The cooking,
dish_1558376734,MIA24,60.00,206.76,16.38,2.52,11.58,90.00,292.50,24.52,1.28,16.68,30.00,85.74,8.14,1.24,5.10,1,25221405,"The image shows the food category of a snack or bite-sized food item. The visible ingredients include small pieces of sausage or smoked meat. The cooking method appears to be cooked, likely smoked or ",
dish_1558376768,MIA24,143.00,74.36,0.29,0.43,20.02,165.00,100.65,0.25,24.42,0.28,22.00,26.29,0.04,23.99,19.74,1,63101000,The image shows the food category of fruit. The visible ingredient is a single whole apple. There is no apparent cooking method as the apple appears raw and unprocessed. Additional details include the,
dish_1558546434,MIA24,11.00,2.53,0.04,0.40,0.32,15.00,4.05,0.09,0.36,0.43,4.00,1.52,0.05,0.03,0.11,1,72125100,"The image shows the food category of a raw leafy greens dish or salad base. The visible ingredients include fresh spinach leaves. The cooking method appears to be raw, as no signs of cooking or prepar",
dish_1558630288,MIA24,11.00,7.11,0.37,0.35,0.67,50.00,11.25,0.24,1.47,1.13,39.00,4.14,0.13,1.12,0.46,3,75113000;72125100;75113080,The image shows the food category of a salad. The visible ingredients include various leafy greens such as lettuce and possibly spinach or arugula. The cooking method appears to be raw/uncooked. Addit,
dish_1558630325,MIA24,269.00,751.54,58.08,46.56,27.08,265.00,512.10,35.31,40.30,15.68,4.00,239.44,22.77,6.26,11.40,4,42101000;72125100;75113000;63101000,"The image shows the food category of a light snack or healthy plate. The visible ingredients include raw almonds, mixed leafy greens (such as spinach and lettuce), and a whole apple. The cooking metho",
