dish_id,method,gt_mass_g,gt_calories,gt_fat_g,gt_carb_g,gt_protein_g,pred_mass_g,pred_calories,pred_fat_g,pred_carb_g,pred_protein_g,ae_mass_g,ae_calories,ae_fat_g,ae_carb_g,ae_protein_g,num_food_codes,food_codes,description,error
dish_1557862696,DietAI24,77.00,19.25,0.23,3.85,1.39,60.00,77.40,0.17,16.79,1.60,17.00,58.15,0.06,12.94,0.22,1,56205001,"The image shows the food category of cooked white rice, partially eaten, with some golden-brown crispy bits visible on top, served in a small white bowl.

Additional details include home-style or cafe",
dish_1558031351,DietAI24,41.00,12.30,0.04,3.12,0.25,150.00,45.00,0.23,11.32,0.92,109.00,32.70,0.18,8.21,0.67,2,63149010;63149010,"The image shows the food category of **watermelon chunks** — fresh, seedless red watermelon cut into small bite-sized pieces.

Additional details include: served on a white square plate; appears to be",
dish_1558110436,DietAI24,69.00,85.63,0.14,20.29,1.10,240.00,216.00,0.36,49.51,4.80,171.00,130.37,0.22,29.23,3.70,2,73403010;73403010,"The image shows the food category of roasted or baked sweet potato chunks, served in a small white bowl with what appears to be a cream or milk-based sauce or liquid.

Additional details include: cut ",
dish_1558113477,DietAI24,50.00,289.05,24.75,11.35,11.20,30.00,179.40,15.76,6.30,6.29,20.00,109.65,8.99,5.05,4.91,1,42100100,"The image shows the food category of **almonds** (whole, raw-appearing, skin-on) served in a small white bowl, with a white liquid (likely milk or yogurt) visible at the bottom of the bowl.

Additiona",
dish_1558114086,DietAI24,143.00,74.36,0.29,0.43,20.02,165.00,100.65,0.25,24.42,0.28,22.00,26.29,0.04,23.99,19.74,1,63101000,"The image shows the food category of a fresh apple, red and green in color, whole and uncut.
Additional details include small to medium size; placed in a white bowl; not specified subcategory as to va",
dish_1558373008,DietAI24,73.00,251.56,19.93,3.07,14.09,56.00,157.92,0.22,42.02,1.37,17.00,93.64,19.71,38.95,12.72,1,62110100,"The image shows the food category of dates (whole, dried fruit), appearing to be Medjool or similar variety based on their large size and dark brown, glossy skin.

Additional details include: approxim",
dish_1558376734,DietAI24,60.00,206.76,16.38,2.52,11.58,48.00,135.36,0.19,36.01,1.18,12.00,71.40,16.19,33.49,10.40,1,62110100,"The image shows the food category of dates (dried fruit), appearing to be whole and halved Medjool or similar variety dates with a dark brown, glossy appearance.

Additional details include: served on",
dish_1558376768,DietAI24,143.00,74.36,0.29,0.43,20.02,200.00,122.00,0.30,29.60,0.34,57.00,47.64,0.01,29.17,19.68,1,63101000,"The image shows the food category of a whole fresh apple, red and green in color, placed in a white bowl.
Additional details include raw, uncut preparation; not specified subcategory as to variety (th",
dish_1558546434,DietAI24,11.00,2.53,0.04,0.40,0.32,30.00,8.10,0.19,0.72,0.85,19.00,5.57,0.14,0.33,0.54,1,72125100,"The image shows the food category of fresh spinach leaves, specifically a small portion of raw baby spinach. Additional details include served plain without dressing or toppings; presented in a white ",
dish_1558630288,DietAI24,11.00,7.11,0.37,0.35,0.67,20.00,3.40,0.06,0.53,0.32,9.00,3.71,0.32,0.17,0.35,1,75114000,"The image shows the food category of mixed salad greens, including visible green and red/purple lettuce leaves, arugula, and what appears to be baby spinach or similar leafy greens. Additional details",
