dish_id,method,gt_mass_g,gt_calories,gt_fat_g,gt_carb_g,gt_protein_g,pred_mass_g,pred_calories,pred_fat_g,pred_carb_g,pred_protein_g,ae_mass_g,ae_calories,ae_fat_g,ae_carb_g,ae_protein_g,num_food_codes,food_codes,description,error
dish_1557862696,DietAI24,77.00,19.25,0.23,3.85,1.39,11.00,53.02,2.56,6.74,1.12,66.00,33.77,2.33,2.89,0.27,1,54403081,The image shows the food category of popcorn with visible popped kernels. Additional details include serving on a white disposable plate placed on a sheet of paper with QR codes; not specified subcate,
dish_1558031351,DietAI24,41.00,12.30,0.04,3.12,0.25,90.00,27.00,0.14,6.79,0.55,49.00,14.70,0.09,3.68,0.30,1,63149010,"The image shows the food category of fresh fruit, specifically small pieces of watermelon. Additional details include the fruit being cut into small cubes and served on a white plate.",
dish_1558110436,DietAI24,69.00,85.63,0.14,20.29,1.10,80.00,72.00,0.12,16.50,1.60,11.00,13.63,0.02,3.78,0.50,1,73403010,"The image shows the food category of cooked sweet potatoes, characterized by orange flesh and brown skin pieces. Additional details include serving on a white disposable plate; not specified subcatego",
dish_1558113477,DietAI24,50.00,289.05,24.75,11.35,11.20,36.00,208.44,17.97,7.76,7.61,14.00,80.61,6.78,3.59,3.59,1,42101000,"The image shows the food category of raw almonds in a white bowl. Additional details include whole almonds with skins on; not specified subcategory as to preparation method, fat or sodium level, or br",
dish_1558114086,DietAI24,143.00,74.36,0.29,0.43,20.02,165.00,100.65,0.25,24.42,0.28,22.00,26.29,0.04,23.99,19.74,1,63101000,The image shows the food category of a whole apple with red and yellow skin. Additional details include the apple being placed on a white plate.,
dish_1558373008,DietAI24,73.00,251.56,19.93,3.07,14.09,56.00,137.20,1.23,29.66,1.78,17.00,114.36,18.70,26.59,12.31,1,42105000,The image shows the food category of roasted or cooked chestnuts. Additional details include whole chestnuts served on a white disposable plate; not specified subcategory as to preparation method or s,
dish_1558376734,DietAI24,60.00,206.76,16.38,2.52,11.58,48.00,117.60,1.06,25.42,1.52,12.00,89.16,15.32,22.90,10.06,1,42105000,"The image shows the food category of chestnuts, with several whole and halved chestnuts placed on a white plate. Additional details include the chestnuts being raw or roasted, but the exact preparatio",
dish_1558376768,DietAI24,143.00,74.36,0.29,0.43,20.02,165.00,100.65,0.25,24.42,0.28,22.00,26.29,0.04,23.99,19.74,1,63101000,The image shows the food category of a whole apple. Additional details include the apple being placed on a white disposable plate.,
dish_1558546434,DietAI24,11.00,2.53,0.04,0.40,0.32,15.00,4.05,0.09,0.36,0.43,4.00,1.52,0.05,0.03,0.11,1,72125100,"The image shows the food category of leafy greens, specifically fresh spinach leaves. Additional details include serving style on a white square plate; not specified subcategory as to preparation, fat",
dish_1558630288,DietAI24,11.00,7.11,0.37,0.35,0.67,20.00,3.40,0.06,0.53,0.32,9.00,3.71,0.32,0.17,0.35,1,75114000,"The image shows the food category of mixed leafy salad greens, including visible ingredients such as green and red lettuce leaves and possibly spinach or arugula. Additional details include serving st",
dish_1558630325,DietAI24,269.00,751.54,58.08,46.56,27.08,105.00,411.25,35.05,16.01,15.37,164.00,340.29,23.03,30.56,11.71,2,42101000;75114000,"The image shows the food category of a healthy snack or light meal consisting of raw almonds, fresh mixed leafy greens, and a whole apple. Additional details include the presence of whole, unprocessed",
dish_1558635489,DietAI24,74.00,78.51,1.78,16.28,2.29,70.00,60.20,0.94,13.09,2.29,4.00,18.31,0.83,3.19,0.00,1,75109600,"The image shows the food category of corn on the cob, with two pieces cut in half. Additional details include the corn kernels being yellow and the pieces served on a white square plate.",
