dish_id,method,gt_mass_g,gt_calories,gt_fat_g,gt_carb_g,gt_protein_g,pred_mass_g,pred_calories,pred_fat_g,pred_carb_g,pred_protein_g,ae_mass_g,ae_calories,ae_fat_g,ae_carb_g,ae_protein_g,num_food_codes,food_codes,description,error
dish_1557862696,MIA24,77.00,19.25,0.23,3.85,1.39,80.00,36.80,2.05,4.02,1.56,3.00,17.55,1.82,0.17,0.17,1,75214028,"The image shows the food category of cooked white rice, partially eaten, with some browned/toasted portions visible on top.

Additional details include served in a small white bowl or dish; placed on ",
dish_1558031351,MIA24,41.00,12.30,0.04,3.12,0.25,75.00,22.50,0.11,5.66,0.46,34.00,10.20,0.07,2.55,0.21,1,63149010,"The image shows the food category of **watermelon chunks** — fresh, seedless red watermelon cut into small bite-sized pieces.

Additional details include: served on a white square plate; appears to be",
dish_1558110436,MIA24,69.00,85.63,0.14,20.29,1.10,120.00,108.00,0.18,24.76,2.40,51.00,22.37,0.04,4.47,1.30,1,73403010,"The image shows the food category of roasted or baked sweet potato chunks, served on a small white paper plate with what appears to be a light-colored sauce or liquid (possibly milk or cream).

Additi",
dish_1558113477,MIA24,50.00,289.05,24.75,11.35,11.20,186.00,353.94,25.47,13.73,21.11,136.00,64.89,0.72,2.38,9.91,2,42101000;11411400,"The image shows the food category of **almonds** (whole, raw-appearing, skin-on) served in a small white bowl, with a white liquid (likely milk or yogurt) visible at the bottom of the bowl.

Additiona",
dish_1558114086,MIA24,143.00,74.36,0.29,0.43,20.02,165.00,100.65,0.25,24.42,0.28,22.00,26.29,0.04,23.99,19.74,1,63101000,"The image shows the food category of a fresh apple, red and green in color, whole and uncut, placed in a white bowl.

Additional details include small size suggesting it may be a Fuji or Gala variety;",
dish_1558373008,MIA24,73.00,251.56,19.93,3.07,14.09,0.00,0.00,0.00,0.00,0.00,73.00,251.56,19.93,3.07,14.09,0,,"The image shows the food category of dates (whole, dried fruit), appearing to be Medjool or similar variety based on their large size and dark brown, glossy skin. Additional details include approximat",No valid food codes found
dish_1558376734,MIA24,60.00,206.76,16.38,2.52,11.58,105.00,341.25,28.61,1.49,19.46,45.00,134.49,12.23,1.03,7.88,1,25221405,"The image shows the food category of dates (dried fruit), appearing as whole and halved pieces with a dark brown, wrinkled skin and soft interior, served on a small white plate.

Additional details in",
dish_1558376768,MIA24,143.00,74.36,0.29,0.43,20.02,182.00,111.02,0.27,26.94,0.31,39.00,36.66,0.01,26.51,19.71,1,63101000,"The image shows the food category of a whole fresh apple, red and green in color, placed in a white bowl.
Additional details include uncut and unpeeled presentation; not specified subcategory as to va",
dish_1558546434,MIA24,11.00,2.53,0.04,0.40,0.32,30.00,8.10,0.19,0.72,0.85,19.00,5.57,0.14,0.33,0.54,1,72125100,"The image shows the food category of fresh baby spinach leaves, served plain on a white square plate.
Additional details include raw preparation; small, whole leaves with stems visible; not specified ",
dish_1558630288,MIA24,11.00,7.11,0.37,0.35,0.67,20.00,3.40,0.06,0.53,0.32,9.00,3.71,0.32,0.17,0.35,1,75114000,"The image shows the food category of mixed salad greens, including visible green and red/purple lettuce leaves, likely a spring mix or mesclun blend.

Additional details include fresh, uncooked leafy ",
